🇨🇳第一线路,#genre#
CCTV-1 综合,http://101.71.176.182:8888/newlive/live/hls/2/live.m3u8
CCTV-2 财经,http://101.71.176.182:8888/newlive/live/hls/3/live.m3u8
CCTV-3 综艺,http://101.71.176.182:8888/newlive/live/hls/4/live.m3u8
CCTV-4 中文国际,http://101.71.176.182:8888/newlive/live/hls/5/live.m3u8
CCTV-5 体育,http://101.71.176.182:8888/newlive/live/hls/6/live.m3u8
CCTV-5+ 赛事,http://101.71.176.182:8888/newlive/live/hls/7/live.m3u8
CCTV-6 电影,http://101.71.176.182:8888/newlive/live/hls/8/live.m3u8
CCTV-7 国防军事,http://101.71.176.182:8888/newlive/live/hls/9/live.m3u8
CCTV-8 电视剧,http://101.71.176.182:8888/newlive/live/hls/10/live.m3u8
CCTV-9 记录,http://101.71.176.182:8888/newlive/live/hls/11/live.m3u8
CCTV-10 科教,http://101.71.176.182:8888/newlive/live/hls/12/live.m3u8
CCTV-11 戏曲,http://101.71.176.182:8888/newlive/live/hls/13/live.m3u8
CCTV-12 社会与法,http://101.71.176.182:8888/newlive/live/hls/14/live.m3u8
CCTV-13 新闻,http://101.71.176.182:8888/newlive/live/hls/15/live.m3u8
CCTV-14 少儿,http://101.71.176.182:8888/newlive/live/hls/16/live.m3u8
CCTV-15 音乐,http://101.71.176.182:8888/newlive/live/hls/17/live.m3u8
CGTN-英文,http://101.71.176.182:8888/newlive/live/hls/18/live.m3u8
北京卫视,http://101.71.176.182:8888/newlive/live/hls/19/live.m3u8
东方卫视,http://101.71.176.182:8888/newlive/live/hls/20/live.m3u8
广东卫视,http://101.71.176.182:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://101.71.176.182:8888/newlive/live/hls/22/live.m3u8
湖南卫视,http://101.71.176.182:8888/newlive/live/hls/23/live.m3u8
浙江卫视,http://101.71.176.182:8888/newlive/live/hls/24/live.m3u8
安徽卫视,http://101.71.176.182:8888/newlive/live/hls/25/live.m3u8
广西卫视,http://101.71.176.182:8888/newlive/live/hls/26/live.m3u8
云南卫视,http://101.71.176.182:8888/newlive/live/hls/27/live.m3u8
深圳卫视,http://101.71.176.182:8888/newlive/live/hls/28/live.m3u8
贵州卫视,http://101.71.176.182:8888/newlive/live/hls/29/live.m3u8
山东卫视,http://101.71.176.182:8888/newlive/live/hls/30/live.m3u8
重庆卫视,http://101.71.176.182:8888/newlive/live/hls/31/live.m3u8
四川卫视,http://101.71.176.182:8888/newlive/live/hls/32/live.m3u8
河南卫视,http://101.71.176.182:8888/newlive/live/hls/33/live.m3u8
湖北卫视,http://101.71.176.182:8888/newlive/live/hls/34/live.m3u8
吉林卫视,http://101.71.176.182:8888/newlive/live/hls/35/live.m3u8
甘肃卫视,http://101.71.176.182:8888/newlive/live/hls/36/live.m3u8
西藏卫视,http://101.71.176.182:8888/newlive/live/hls/37/live.m3u8
青海卫视,http://101.71.176.182:8888/newlive/live/hls/38/live.m3u8
宁夏卫视,http://101.71.176.182:8888/newlive/live/hls/39/live.m3u8
陕西卫视,http://101.71.176.182:8888/newlive/live/hls/40/live.m3u8
天津卫视,http://101.71.176.182:8888/newlive/live/hls/41/live.m3u8
河北卫视,http://101.71.176.182:8888/newlive/live/hls/42/live.m3u8
山西卫视,http://101.71.176.182:8888/newlive/live/hls/43/live.m3u8
内蒙古卫视,http://101.71.176.182:8888/newlive/live/hls/44/live.m3u8
辽宁卫视,http://101.71.176.182:8888/newlive/live/hls/45/live.m3u8
黑龙江卫视,http://101.71.176.182:8888/newlive/live/hls/46/live.m3u8
东南卫视,http://101.71.176.182:8888/newlive/live/hls/47/live.m3u8
江西卫视,http://101.71.176.182:8888/newlive/live/hls/48/live.m3u8
海南卫视,http://101.71.176.182:8888/newlive/live/hls/49/live.m3u8
兵团卫视,http://101.71.176.182:8888/newlive/live/hls/50/live.m3u8
浙江经济生活,http://101.71.176.182:8888/newlive/live/hls/51/live.m3u8
浙江科教,http://101.71.176.182:8888/newlive/live/hls/52/live.m3u8
浙江少儿,http://101.71.176.182:8888/newlive/live/hls/53/live.m3u8
浙江新闻综合,http://101.71.176.182:8888/newlive/live/hls/54/live.m3u8
浙江公共,http://101.71.176.182:8888/newlive/live/hls/55/live.m3u8
哈哈炫动,http://101.71.176.182:8888/newlive/live/hls/56/live.m3u8
金鹰卡通,http://101.71.176.182:8888/newlive/live/hls/57/live.m3u8

🇨🇳第二线路,#genre#
CCTV-1,http://171.109.225.104:8181/tsfile/live/0001_1.m3u8
CCTV-2,http://171.109.225.104:8181/tsfile/live/0002_1.m3u8
CCTV-3,http://171.109.225.104:8181/tsfile/live/0003_1.m3u8
CCTV-4,http://171.109.225.104:8181/tsfile/live/0004_1.m3u8
CCTV-5,http://171.109.225.104:8181/tsfile/live/0005_1.m3u8
CCTV-6,http://171.109.225.104:8181/tsfile/live/0006_1.m3u8
CCTV-7,http://171.109.225.104:8181/tsfile/live/0007_1.m3u8
CCTV-8,http://171.109.225.104:8181/tsfile/live/0008_1.m3u8
CCTV-9,http://171.109.225.104:8181/tsfile/live/0009_1.m3u8
CCTV-10,http://171.109.225.104:8181/tsfile/live/0010_1.m3u8
CCTV-11,http://171.109.225.104:8181/tsfile/live/0011_1.m3u8
CCTV-12,http://171.109.225.104:8181/tsfile/live/0012_1.m3u8
CCTV-13,http://171.109.225.104:8181/tsfile/live/1052_1.m3u8
CCTV-14,http://171.109.225.104:8181/tsfile/live/0014_1.m3u8
CCTV-15,http://171.109.225.104:8181/tsfile/live/0015_1.m3u8
CCTV-16,http://171.109.225.104:8181/tsfile/live/1014_1.m3u8
CCTV-17,http://171.109.225.104:8181/tsfile/live/1041_1.m3u8
CCTV-5+,http://171.109.225.104:8181/tsfile/live/1020_1.m3u8
湖南卫视,http://171.109.225.104:8181/tsfile/live/1049_1.m3u8
深圳卫视,http://171.109.225.104:8181/tsfile/live/1027_1.m3u8
江苏卫视,http://171.109.225.104:8181/tsfile/live/1026_1.m3u8
北京卫视,http://171.109.225.104:8181/tsfile/live/1022_1.m3u8
东方卫视,http://171.109.225.104:8181/tsfile/live/1021_1.m3u8
广东卫视,http://171.109.225.104:8181/tsfile/live/1019_1.m3u8
浙江卫视,http://171.109.225.104:8181/tsfile/live/1050_1.m3u8
湖北卫视,http://171.109.225.104:8181/tsfile/live/1043_1.m3u8
河北卫视,http://171.109.225.104:8181/tsfile/live/1045_1.m3u8
天津卫视,http://171.109.225.104:8181/tsfile/live/1044_1.m3u8
黑龙江卫视,http://171.109.225.104:8181/tsfile/live/1040_1.m3u8
山东卫视,http://171.109.225.104:8181/tsfile/live/0131_1.m3u8
江西卫视,http://171.109.225.104:8181/tsfile/live/0138_1.m3u8
安徽卫视,http://171.109.225.104:8181/tsfile/live/0130_1.m3u8
辽宁卫视,http://171.109.225.104:8181/tsfile/live/0121_1.m3u8
甘肃卫视,http://171.109.225.104:8181/tsfile/live/1032_1.m3u8
贵州卫视,http://171.109.225.104:8181/tsfile/live/1058_1.m3u8
东南卫视,http://171.109.225.104:8181/tsfile/live/1029_1.m3u8
新疆卫视,http://171.109.225.104:8181/tsfile/live/0110_1.m3u8
